# Longueur d'onde   Signal
653.774    5092
653.783    5585
653.793    7602
653.802    10987
653.811    11464
653.820    8072
653.829    5643
653.839    4329
653.848    3391
653.857    3416
653.866    3487
653.875    3003
653.885    3011
653.894    3249
653.903    3101
653.912    3228
653.921    2923
653.931    2963
653.940    3166
653.949    3005
653.958    2894
653.967    2848
653.977    2871
653.986    2929
653.995    2630
654.004    3031
654.013    2816
654.023    2710
654.032    2847
654.041    2498
654.050    2538
654.059    2729
654.069    3113
654.078    2892
654.087    2702
654.096    2819
654.105    3149
654.115    3557
654.124    4245
654.133    4141
654.142    4133
654.151    3597
654.161    3643
654.170    3238
654.179    2929
654.188    2522
654.197    2764
654.207    2527
654.216    2423
654.225    2396
654.234    2540
654.243    2332
654.253    2345
654.262    2376
654.271    2352
654.280    2334
654.289    2460
654.299    2509
654.308    2583
654.317    2526
654.326    2863
654.335    2955
654.345    2780
654.354    2666
654.363    2580
654.372    2837
654.381    2577
654.391    2175
654.400    2376
654.409    2546
654.418    2644
654.427    2547
654.437    2733
654.446    2931
654.455    2786
654.464    2665
654.473    2993
654.483    2915
654.492    3168
654.501    3176
654.510    3242
654.519    3386
654.529    3280
654.538    3325
654.547    3217
654.556    3408
654.565    3407
654.575    3376
654.584    3178
654.593    2687
654.602    2820
654.611    3141
654.621    3235
654.630    2941
654.639    2682
654.648    2519
654.657    2774
654.667    2712
654.676    2761
654.685    2885
654.694    3231
654.703    2886
654.712    3108
654.722    3166
654.731    2831
654.740    2950
654.749    2900
654.758    3175
654.768    3165
654.777    3503
654.786    4263
654.795    3843
654.804    3256
654.814    3496
654.823    3257
654.832    3106
654.841    2928
654.850    2767
654.860    3694
654.869    4033
654.878    3617
654.887    3385
654.896    3454
654.906    3062
654.915    3026
654.924    3104
654.933    3149
654.942    3273
654.952    2891
654.961    3330
654.970    3125
654.979    3301
654.988    3548
654.998    3593
655.007    3141
655.016    3038
655.025    2974
655.034    2948
655.044    2919
655.053    2767
655.062    2591
655.071    2630
655.080    2368
655.090    2789
655.099    3074
655.108    2622
655.117    2718
655.126    3042
655.136    2876
655.145    2733
655.154    2866
655.163    2867
655.172    2689
655.182    2842
655.191    2857
655.200    3076
655.209    3342
655.218    2932
655.228    3308
655.237    3367
655.246    3181
655.255    3705
655.264    4293
655.274    5191
655.283    5430
655.292    4710
655.301    4238
655.310    3776
655.320    3954
655.329    3901
655.338    3682
655.347    3686
655.356    4103
655.366    5429
655.375    5029
655.384    4839
655.393    4969
655.402    4716
655.412    5416
655.421    5290
655.430    5355
655.439    5643
655.448    5582
655.458    4828
655.467    5003
655.476    5073
655.485    4852
655.494    4970
655.504    4266
655.513    3869
655.522    3732
655.531    3817
655.540    3576
